run,step,mean_return,point_type
Model-based RL (PETS/MPC estimate),1440000.0,-11.657964706420898,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1480000.0,-12.094697952270508,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1520000.0,-12.53481388092041,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1560000.0,-13.00467586517334,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1600000.0,-13.479351997375488,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1640000.0,-13.967297554016113,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1680000.0,-14.451183319091797,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1720000.0,-14.900912284851074,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1760000.0,-15.351415634155273,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1800000.0,-15.80172348022461,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1840000.0,-16.289291381835938,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1880000.0,-16.778888702392578,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1920000.0,-17.249170303344727,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1960000.0,-17.74724769592285,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),2000000.0,-76.54196166992188,estimated_scaled_episode_curve
